Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime
False,0.06421423123466005,0.12514425039078111,-1.0,-1.0,-1.0,-1.0
False,7.764840479854241,14.581176476220394,3.14,2.52,2.3000000000000003,2.08
False,7.8711886678551135,14.104163650980846,4.26,2.58,2.44,2.32
False,24.127999173624964,59.82124036080283,-1.0,2.52,2.2800000000000002,2.08
False,4.359475155563421,7.585345149622085,-1.0,2.48,2.24,2.14
False,16.30958602241292,38.10923838308289,-1.0,2.34,2.16,2.08
False,7.460404502168623,14.353188675548514,5.14,3.08,2.7600000000000002,2.42
False,5.202891203617863,9.814258487114397,-1.0,-1.0,-1.0,-1.0
False,10.547627595583334,26.726813849170128,-1.0,-1.0,-1.0,-1.0
False,5.518868417132036,10.658388123732212,3.5,2.68,2.34,2.08
False,9.545242615494878,20.047803454427775,-1.0,2.68,2.46,2.04
False,3.2488834373187814,6.110438311260373,-1.0,-1.0,-1.0,1.96
False,19.452320975241374,39.493840350884824,-1.0,2.7,2.48,2.04
False,20.79599959672487,46.325985418218224,18.94,17.78,17.080000000000002,1.7
True,12.669266544908679,26.72879348635316,4.38,3.8200000000000003,3.56,2.56
False,21.776941039535096,42.79716313430515,19.1,17.56,16.92,15.620000000000001
False,19.9430439456296,43.04424480110889,19.14,16.76,2.22,1.98
False,5.013504985717476,9.355582825002182,-1.0,4.22,2.84,2.08
False,19.037900526201547,49.80078360640638,-1.0,-1.0,-1.0,-1.0
False,3.8572219354835635,7.128883512730017,-1.0,3.02,2.52,1.98
False,4.134392755427195,7.682459735722542,-1.0,2.7600000000000002,2.44,2.16
False,3.858990098004763,6.396582580245815,-1.0,-1.0,-1.0,2.12
False,3.656772343746021,6.684256425959769,-1.0,-1.0,-1.0,2.14
False,5.547737616690048,10.905279073700536,-1.0,2.7600000000000002,2.64,2.4
False,7.027672058546267,12.022697085958441,6.82,2.44,2.32,2.1
False,6.0416013290661,10.891309392604418,-1.0,4.3,2.2600000000000002,2.22
False,3.530387164078924,6.547368415102846,-1.0,-1.0,2.2,1.94
False,4.941825477298332,8.429578749133487,-1.0,-1.0,-1.0,2.34
False,5.874966660765012,10.384146562050564,-1.0,4.86,4.1,3.68
False,6.619571942002259,12.155432145578835,-1.0,-1.0,3.62,2.06
False,7.702606618885492,14.445224379997017,-1.0,-1.0,-1.0,5.66
False,7.717257868172276,13.70434272776029,7.42,5.92,5.22,4.2
False,6.4534140102419055,11.429424094166746,3.3200000000000003,2.72,2.32,2.2600000000000002
False,8.469235068171663,14.968014907925369,4.0600000000000005,2.66,2.38,2.2600000000000002
False,5.9748937269272995,10.967305953136565,3.1,2.68,2.42,2.2800000000000002
False,5.86644626503128,10.182389035771116,3.8200000000000003,3.14,3.06,2.38
False,6.414955953293591,11.375944937643007,3.2,2.84,2.56,2.24
False,8.039797960215788,13.918646551794955,3.06,2.46,2.2,2.02
False,6.101034687235721,10.911294892748769,3.96,2.72,2.34,1.94
False,7.806466220950671,13.120760005769613,3.02,2.98,2.56,2.12
False,5.628088130465551,10.483583562275983,5.36,4.14,2.6,2.3000000000000003
False,3.820605209380957,7.141614968387875,2.74,2.36,2.04,1.8800000000000001
False,3.989719169669075,7.337330787495305,-1.0,-1.0,2.48,2.1
