Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
False,7.818391197742288,13.36948414379974,1.46,1.34,1.12,0.96, A0: 2.191735210935625 P0: 0.050296955358066456 S0: 5.387129445059993 A1: 0.2373787038920867 P1: 0.03848288295579233 S1: 0.29485070133436947 A2: 4.543968927455517 P2: 0.03501719363606977 S2: 5.167494091744611 A3: 12.06584722676988 P3: 0.05978093554618066 S3: 0.8898983629496835 A4: 10.904031528271457 P4: 0.03329763286268305 S4: 0.036611867699268025 A5: 0.9777680626385159 P5: 0.04858904775453795 S5: 5.015414482123822
False,6.580402174556344,11.427776726432477,2.32,1.3,0.8200000000000001,0.74, A0: 9.750925689003592 P0: 0.05269518145169791 S0: 1.4551468753706343 A1: 3.7803543276770606 P1: 0.046202867656175 S1: 0.6828263829482527 A2: 2.7249764868399367 P2: 0.04031969057697095 S2: 1.5024957911716 A3: 4.00473883145066 P3: 0.041926700845503956 S3: 2.410559280986907 A4: 1.1899571309234047 P4: 0.04121897716062079 S4: 4.693573128724271 A5: 2.1281598219329467 P5: 0.0489963456361555 S5: 3.173429241658042
False,7.274597431559187,12.50062879053659,1.44,0.98,0.84,0.8, A0: 6.880166983198858 P0: 0.04028139925975241 S0: 4.724447127006614 A1: 12.060581266100714 P1: 0.056957540100095495 S1: 3.8427680652487326 A2: 11.047812024161946 P2: 0.050885006928683696 S2: 0.33602700135434066 A3: 1.681650948935105 P3: 0.04537529420925221 S3: 0.6091073126853027 A4: 3.0014569879398585 P4: 0.03517254030829686 S4: 3.818641233148746 A5: 1.2562902037670507 P5: 0.04129617119393961 S5: 1.6495216799890275
False,6.399760384992331,11.049232094199338,2.52,0.78,0.78,0.7000000000000001, A0: 1.2391879320653083 P0: 0.03622753312940778 S0: 2.662294773505698 A1: 1.806826752890228 P1: 0.05084876344283893 S1: 4.04557290464843 A2: 4.695516973554561 P2: 0.04619370738550099 S2: 0.7132430712262483 A3: 7.718838587206812 P3: 0.0394747098261187 S3: 2.8290266747701756 A4: 7.221552086272743 P4: 0.03621378574938958 S4: 1.3092697569066574 A5: 3.134774261921107 P5: 0.041469867980062816 S5: 2.66798327002741
False,7.308569948021153,12.748227620602096,1.74,0.88,0.84,0.76, A0: 6.429026655871372 P0: 0.0330940926891577 S0: 3.5481140568369893 A1: 5.836928710315471 P1: 0.039587933293524995 S1: 4.430587993317548 A2: 11.655687389382066 P2: 0.049720462517104456 S2: 4.928259374168975 A3: 8.737714813580226 P3: 0.052271208484637 S3: 5.467780749501342 A4: 11.94718896095606 P4: 0.045993738956474385 S4: 3.7705929084141925 A5: 2.751973119588592 P5: 0.051157593205667914 S5: 2.99718290718446
False,8.398289937961335,14.50629347907827,3.2,0.96,0.88,0.88, A0: 5.1549777754752295 P0: 0.04449399604992803 S0: 2.69445869664551 A1: 9.135021945990706 P1: 0.058792957415262505 S1: 2.212774898204021 A2: 0.15079297340533415 P2: 0.048586956337954526 S2: 3.1838826368613056 A3: 12.212318264369282 P3: 0.05527817174463053 S3: 3.5456203135407045 A4: 10.044641594035676 P4: 0.04970504166388499 S4: 0.4721892903546258 A5: 12.57676210696301 P5: 0.031461430685626124 S5: 4.725320615971145
False,7.115266281533941,11.97608437379381,2.48,0.8,0.74,0.68, A0: 5.5418792287044125 P0: 0.046718277595273076 S0: 3.469257340070938 A1: 5.8237470601689365 P1: 0.04817753031516181 S1: 0.2037541153671399 A2: 0.4666432593516683 P2: 0.03608820704123342 S2: 0.8289763900585879 A3: 12.396151579842016 P3: 0.03873316299539204 S3: 6.165521978279447 A4: 4.987782576228038 P4: 0.05304121221028033 S4: 3.2413000067476596 A5: 1.6420660003364707 P5: 0.05621043807467522 S5: 3.847378148368146
False,7.300980483983619,12.309426735535633,1.1400000000000001,1.12,0.96,0.88, A0: 12.212186381021814 P0: 0.05363887488280537 S0: 5.150746266439786 A1: 6.66069210717212 P1: 0.036512362355965604 S1: 1.4794634587191828 A2: 8.902693405029899 P2: 0.05205596971494063 S2: 2.9677602451827836 A3: 8.44285091728798 P3: 0.04908145396223277 S3: 3.327057754979487 A4: 7.769722144014109 P4: 0.037566439711353594 S4: 1.3047420427059393 A5: 5.898269830390583 P5: 0.05578830671317577 S5: 4.5340704286913045
False,7.389947208267933,13.4197917034831,2.18,1.16,1.02,0.9400000000000001, A0: 8.538888604986125 P0: 0.04402922936996481 S0: 5.018943652599232 A1: 1.3477120139056051 P1: 0.032497681389694236 S1: 5.3725602098775775 A2: 7.185468290842064 P2: 0.043034813998834846 S2: 3.4897928475865454 A3: 1.3391697383199732 P3: 0.034529811541749666 S3: 4.018230881310507 A4: 12.430301990215629 P4: 0.05727917373372571 S4: 2.9789606193022014 A5: 10.968961680006846 P5: 0.051006890080402295 S5: 2.2145098659113933
False,8.681347111090743,14.819224695860548,3.88,1.12,1.0,0.96, A0: 12.79852311420045 P0: 0.0517266180454436 S0: 0.10850787448767714 A1: 4.85983833918137 P1: 0.05754476599754086 S1: 1.0840647340444745 A2: 10.392301773597755 P2: 0.04839568675660243 S2: 5.398765154818855 A3: 10.454831482500946 P3: 0.038266474508551175 S3: 5.696615954952643 A4: 2.7934639757110835 P4: 0.03670712552151238 S4: 0.1579781288242093 A5: 12.165130082714242 P5: 0.030202944798797468 S5: 1.596850226486628
