Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime
False,17.76815374026579,28.337145846713334,-1.0,2.08,1.68,1.52
False,19.828293151059896,33.54477754780476,-1.0,9.38,9.34,1.8
False,17.99650814900832,27.192873732334228,2.54,1.68,1.52,1.06
False,18.414385304512802,27.882879553492995,1.94,1.48,1.28,1.2
False,18.31628475323427,28.490606050691397,9.5,2.68,1.42,1.16
False,17.719718489596143,28.314583657170946,-1.0,2.2600000000000002,1.8800000000000001,1.6
False,17.98816859953458,29.101721473879945,19.84,3.84,2.54,1.58
False,18.57197115425244,27.936531701099508,2.74,2.02,1.48,1.2
False,17.546565795386424,27.214257407469432,-1.0,3.56,1.1,0.72
False,18.506245883769406,29.088360880263604,9.4,3.22,2.2800000000000002,1.44
False,17.658270481342356,28.281966842988375,19.64,3.08,2.46,1.5
False,17.879097078329725,27.83835394343096,3.42,2.6,2.16,0.68
False,18.55609647769851,28.61292594216128,14.58,3.06,2.24,1.24
False,17.132523455680225,27.2054976163804,19.78,3.02,1.26,0.92
False,18.693759366816202,28.055665285508145,3.0,2.18,1.62,1.32
False,18.330688435740868,27.561051619161503,2.56,2.34,1.74,0.9400000000000001
False,17.657583865778395,28.17266472279896,19.7,2.8000000000000003,1.46,1.1400000000000001
False,17.933348599044894,28.60726296597358,3.36,2.4,1.1400000000000001,1.08
False,17.854816487463015,27.094691383248875,-1.0,1.56,1.22,0.76
False,17.22898099149348,27.502330416030617,-1.0,2.0,1.52,1.32
False,17.728705083590285,28.19465389620429,9.32,3.46,1.46,0.9
False,18.71898182314298,29.364129088702224,3.58,2.32,1.6600000000000001,1.42
False,18.450984222341766,29.35476518030466,-1.0,9.22,3.22,1.6
False,17.683589942726957,29.07890955915608,-1.0,3.7600000000000002,1.7,1.52
False,17.731411962370117,27.857925791185714,-1.0,3.16,1.9000000000000001,1.6400000000000001
False,18.27107254420139,28.579230805791735,3.4,2.06,1.56,1.24
False,18.310564682902996,29.507473462420343,-1.0,9.44,1.54,1.32
False,16.853774930917698,26.69429363848311,9.540000000000001,1.54,1.3,1.06
False,17.68825905734633,26.356391197923745,-1.0,2.24,1.1400000000000001,0.78
False,17.586873030695564,27.045511219169253,19.84,2.7800000000000002,1.5,0.72
False,17.758952427642924,27.449718237195306,-1.0,1.74,1.34,1.02
False,18.273503985735303,29.22584984444163,-1.0,9.22,1.44,1.3
False,17.73076844544503,29.30235509744547,9.46,3.58,2.42,1.6
