Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
False,8.384802015128958,14.605356142343346,2.88,2.02,1.02,0.98, A0: 12.782367153444351 P0: 0.06391559295027473 S0: 5.689783242436057 A1: 3.8017566551225155 P1: 0.1142960365688859 S1: 3.4662000371822517 A2: 2.1595636567586847 P2: 0.06190138744994171 S2: 1.1387429063787977 A3: 1.636946455766917 P3: 0.10664741332461103 S3: 3.0964446644234163 A4: 6.51364981680363 P4: 0.06894149668937215 S4: 1.5145947205268397 A5: 0.6808810974528092 P5: 0.10297551046041119 S5: 5.481551609282548
False,8.052679977214716,13.656596124527567,4.6000000000000005,1.02,0.8200000000000001,0.76, A0: 10.126706222472714 P0: 0.06888020386469809 S0: 4.431930908752922 A1: 11.762715821109863 P1: 0.08315747440784838 S1: 6.116361826585455 A2: 3.4418718121073644 P2: 0.11075403263827663 S2: 5.4758246409515365 A3: 5.940605249039694 P3: 0.11819059793926799 S3: 4.194382920605269 A4: 6.4990822522289 P4: 0.07728298720885837 S4: 5.76094079522951 A5: 2.8178643669054764 P5: 0.08354430418948652 S5: 2.673103376486763
True,3.1214443096559674,5.868078511918189,-1.0,1.18,1.18,1.0, A0: 10.491149869781474 P0: 0.11609824630669639 S0: 4.741139094801885 A1: 4.038679307332124 P1: 0.07945698378932425 S1: 1.0936455444057485 A2: 12.508447535098934 P2: 0.1027802146544674 S2: 4.584305343700082 A3: 4.981979947140146 P3: 0.06810564884179407 S3: 1.7218384343415547 A4: 6.468162771290889 P4: 0.06873102531087316 S4: 4.107856187528762 A5: 2.9503282591947073 P5: 0.09797114216826448 S5: 0.332692342355488
False,6.679158122049768,11.616689327592601,1.1,1.0,0.8,0.74, A0: 5.219742615640251 P0: 0.06751700533470643 S0: 5.247048397799854 A1: 7.312359586984507 P1: 0.095495047432734 S1: 0.5470645861857715 A2: 2.501781497200661 P2: 0.10510520501293273 S2: 3.3547604171922893 A3: 1.851662651076071 P3: 0.08426347617894274 S3: 2.833939490463115 A4: 1.093414269426844 P4: 0.10823629026706402 S4: 1.2906480133437996 A5: 10.287913305961046 P5: 0.06700620403767972 S5: 1.7599837267084657
False,42.26947771812513,68.70879576434325,-1.0,1.04,1.02,0.8, A0: 1.8507988027149072 P0: 0.0843466362853533 S0: 2.446661265898849 A1: 12.827162881808214 P1: 0.09754150664632238 S1: 0.5206615477453408 A2: 1.9049227903864583 P2: 0.07774143689342924 S2: 0.14151383773391002 A3: 6.329244142577373 P3: 0.0648249331306127 S3: 3.8701461971953037 A4: 9.197962433435691 P4: 0.10322391150768091 S4: 5.318995979196216 A5: 0.30368252115596406 P5: 0.11585901218032019 S5: 5.024875863654517
False,31.97031984722262,47.171762310452856,-1.0,1.18,0.92,0.84, A0: 10.624189358281455 P0: 0.10729365695323977 S0: 4.992968842825648 A1: 2.663199364180786 P1: 0.10862242611229864 S1: 0.7361453834940767 A2: 12.101066552621909 P2: 0.07165516416478813 S2: 4.588525718279452 A3: 6.719801966378912 P3: 0.08175894609172016 S3: 0.5515122826496176 A4: 7.247942944258376 P4: 0.11567447660206247 S4: 1.7725447521346909 A5: 6.555879314581293 P5: 0.11498025926538308 S5: 5.779067960276996
False,7.530559202909148,13.136760394382684,2.92,0.84,0.78,0.74, A0: 0.7321258866716144 P0: 0.10054622590476837 S0: 4.884533328306311 A1: 0.7161254789167616 P1: 0.09354408095945264 S1: 0.6141194025747927 A2: 11.037317961667211 P2: 0.09445921598937015 S2: 3.4451835421711534 A3: 2.456554326379336 P3: 0.0822569178760644 S3: 5.722653970687948 A4: 7.586946166056413 P4: 0.07184053804289281 S4: 4.202405903280361 A5: 6.783043704531464 P5: 0.0980680934928555 S5: 4.2337902718378775
False,27.28268199875151,44.39946439554238,-1.0,-1.0,0.86,0.68, A0: 4.555016878593593 P0: 0.11279916599084083 S0: 5.245145877085167 A1: 0.21541165620506408 P1: 0.11270834131948372 S1: 2.3616179125251806 A2: 10.549665727733231 P2: 0.10225304027008648 S2: 3.4176457753871237 A3: 4.133927132928895 P3: 0.07016275682769814 S3: 5.704509172593376 A4: 12.907602557105442 P4: 0.062135745949221735 S4: 2.6939577425018943 A5: 6.371098198853356 P5: 0.1075732034150851 S5: 3.512215816831737
False,15.737679301961059,25.427399811181616,12.26,1.1400000000000001,1.02,0.98, A0: 8.606304359836134 P0: 0.06426839287424135 S0: 2.7037548807519287 A1: 9.789830384647068 P1: 0.11743763626738102 S1: 2.4744801038033017 A2: 1.1779704327131189 P2: 0.09693121371845663 S2: 0.21803880164959621 A3: 2.644000291088771 P3: 0.08747163994238853 S3: 2.9335228081621145 A4: 6.946273758154141 P4: 0.06942442679595313 S4: 6.277873430048636 A5: 3.346963759879862 P5: 0.08690034758414927 S5: 5.0959859233787785
True,1.5555451436948307,3.0718599975777465,-1.0,-1.0,-1.0,0.72, A0: 0.010168286236090007 P0: 0.08995553221774776 S0: 2.1715208967772957 A1: 5.464776919948793 P1: 0.0994691502121095 S1: 3.356773709563048 A2: 10.287812875102572 P2: 0.09356459526423591 S2: 3.405890861469522 A3: 2.673299215887503 P3: 0.11133380557200341 S3: 4.10234377674446 A4: 3.9585623792288356 P4: 0.09360530758599483 S4: 5.439967862682519 A5: 1.2822186015304249 P5: 0.10353695084115717 S5: 3.7982754085191788
