Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime
False,5.716419231737872,9.976885969495344,2.64,1.3,1.1,1.0
False,5.241610079663844,8.955879339911796,1.8,1.0,0.88,0.8200000000000001
False,4.979325416392642,8.391591001610738,1.9000000000000001,0.8200000000000001,0.76,0.7000000000000001
False,5.081093659998412,8.626123455260954,0.84,0.78,0.76,0.72
False,5.0750487541686775,8.672310977790891,2.06,0.96,0.78,0.74
False,5.074113895342683,8.657682045609883,2.36,0.86,0.78,0.72
False,4.9765590244268685,8.50314154130152,0.9,0.84,0.8,0.76
False,5.425375220088477,9.143711509393457,1.9000000000000001,1.04,0.9,0.86
False,5.098934260648927,8.618084295903603,1.12,0.9,0.84,0.78
False,4.928535126872393,8.490809250993973,2.1,0.8,0.74,0.74
False,4.9559200527744505,8.42778576115572,1.84,0.84,0.78,0.7000000000000001
False,5.030321089258587,8.41964272087003,0.98,0.88,0.74,0.72
False,5.074742086719338,8.667766134928884,1.78,0.88,0.78,0.76
False,4.793914745095557,8.039173300959554,0.96,0.8,0.76,0.72
False,4.8812914235910005,8.355722406187336,1.74,0.92,0.8200000000000001,0.74
False,5.065453507769077,8.649707221911832,2.12,0.88,0.78,0.74
False,5.102279644570587,8.624858590698555,2.06,0.8200000000000001,0.8,0.74
False,5.1423547729313475,8.768958330654948,2.2,0.8200000000000001,0.78,0.72
False,4.9529776348700585,8.334942655794682,1.72,0.9400000000000001,0.8,0.74
False,5.143082749591847,8.908403535537825,1.84,0.88,0.84,0.8200000000000001
False,5.071560798853678,8.725792293525151,2.06,0.76,0.74,0.74
False,5.054803932607719,8.527384626035643,2.06,1.06,0.8,0.74
False,5.44914113204464,9.436759293053903,2.16,0.9,0.84,0.76
False,4.939829837795001,8.455581619098114,1.54,0.88,0.8200000000000001,0.76
False,5.459113971114227,9.530012011930248,2.2,0.88,0.84,0.8
False,5.063130129787287,8.626511504734886,2.48,0.78,0.72,0.66
False,4.847863640552068,8.268893753280501,2.2,0.8200000000000001,0.74,0.68
False,5.354302905562653,9.108788993797837,1.9000000000000001,0.98,0.88,0.8200000000000001
False,5.158939645772085,8.600914313876745,1.1,0.98,0.86,0.78
False,4.790407925269243,8.172239543108164,0.86,0.78,0.74,0.7000000000000001
False,4.956384564013527,8.494542930885133,0.92,0.86,0.8,0.76
False,4.9083128752631895,8.242629700560958,1.84,0.84,0.76,0.74
False,4.884300295033805,8.116166274822223,1.16,0.98,0.88,0.76
False,5.073666612450632,8.721806645736567,0.92,0.8200000000000001,0.78,0.78
False,5.8616408215273275,10.074303492595511,1.32,1.04,1.0,0.86
False,4.907280192090873,8.25683409834839,1.04,0.9,0.8200000000000001,0.74
False,5.22223320356639,8.976027603530913,2.14,0.86,0.76,0.72
False,5.240975655557372,8.950691470642965,2.08,0.9,0.8200000000000001,0.8
False,4.83375707429443,8.21925326392806,1.68,0.78,0.72,0.7000000000000001
False,4.966932461872915,8.610283791524424,1.42,0.92,0.86,0.86
False,4.938380728733609,8.407469397514138,1.94,0.8,0.76,0.7000000000000001
False,5.210503786277349,8.75496209069605,1.12,0.92,0.86,0.8200000000000001
False,4.975453266044792,8.365719878505738,0.92,0.76,0.74,0.68
False,4.979746767527563,8.44549396026972,1.98,0.88,0.8,0.76
False,5.040582346547307,8.677279843250037,1.8,0.84,0.78,0.74
False,4.9147578643025565,8.354975353672202,1.82,0.86,0.78,0.76
False,5.303390757023454,9.119101429347948,2.32,1.98,0.86,0.78
False,5.053484950291708,8.540288299465663,2.12,0.86,0.8,0.76
False,5.069831598693112,8.413849029079724,1.12,0.96,0.86,0.84
False,4.9350532137885335,8.31242819110889,0.88,0.8200000000000001,0.76,0.74
False,4.865837622278911,8.276850422071467,1.82,0.78,0.7000000000000001,0.68
False,4.941664417057337,8.282188518559309,1.12,0.88,0.84,0.78
False,4.917231601534391,8.307853460269708,1.98,0.74,0.68,0.66
False,4.860937603899978,8.08707636587639,1.72,0.8,0.74,0.72
False,5.440725282750804,9.518588024817868,2.4,2.08,0.8200000000000001,0.78
False,4.962334968726427,8.49405781004346,0.98,0.9400000000000001,0.86,0.78
False,4.752970401167491,7.955316687901815,1.6600000000000001,0.84,0.8,0.7000000000000001
False,5.168514994275409,8.734548174888575,0.96,0.86,0.8,0.76
False,4.817187693952132,8.19851471091386,2.14,0.78,0.72,0.66
False,5.184141739997551,8.858617247409102,2.12,0.8200000000000001,0.74,0.7000000000000001
False,4.919120953898771,8.462356100770558,1.04,0.88,0.78,0.76
False,5.143267685552347,8.898479588991306,1.98,0.84,0.84,0.8200000000000001
False,5.0877458587597815,8.729607727556438,1.78,0.98,0.84,0.8
False,5.210541516569398,8.899740968419907,2.12,0.8200000000000001,0.76,0.74
False,4.924634755546199,8.330909002706813,2.12,0.78,0.76,0.68
False,4.9273662974489305,8.337205991606043,1.82,0.88,0.8,0.7000000000000001
False,4.797078871449133,8.109305196014423,0.86,0.78,0.78,0.72
False,5.392009922572231,9.097569797532476,1.26,1.04,1.0,0.88
False,5.014982483210766,8.477957881411305,1.08,0.92,0.86,0.8
False,5.358416802743287,9.007047577605707,1.32,1.1400000000000001,0.9400000000000001,0.92
False,4.709486649694123,7.838072689074536,1.86,0.8,0.7000000000000001,0.68
False,5.175523586841104,9.019887497974887,2.16,1.84,0.84,0.8
False,4.975323991185982,8.623813384500423,1.94,0.96,0.8,0.72
False,5.3537296067440145,9.01255237846901,1.48,1.18,0.9400000000000001,0.86
False,5.083688097392944,8.727293795913633,1.84,0.96,0.86,0.84
False,5.168173678291781,8.786389696301656,0.84,0.8200000000000001,0.78,0.74
False,5.040645660334179,8.751881730175848,1.72,0.9,0.86,0.78
False,5.089836243282183,8.852072266048939,1.96,0.86,0.8200000000000001,0.76
False,5.0447111064683465,8.860073279239058,1.96,0.92,0.8200000000000001,0.8200000000000001
False,4.891033468881379,8.253999996675907,1.2,0.98,0.8200000000000001,0.74
False,4.842467627336878,8.163391001855262,1.6400000000000001,0.84,0.8,0.74
False,5.269272421943651,9.304008642768276,2.2,1.92,0.84,0.78
False,5.121559454672477,8.545246137984185,1.04,0.9,0.8200000000000001,0.76
False,4.864936443809447,8.175948161416512,1.04,0.88,0.84,0.78
False,5.0139978227811515,8.85989481999068,2.12,0.9400000000000001,0.9,0.86
False,5.501780389964086,9.970905962001682,2.12,1.74,1.24,1.0
False,5.043220736524396,8.712923084452601,1.98,0.84,0.8,0.74
False,4.941673571943809,8.379655817874959,0.88,0.8200000000000001,0.8,0.74
False,5.039787055740469,8.847104178006484,1.8800000000000001,0.9400000000000001,0.86,0.84
False,4.769575594344756,7.968868311430544,1.8,0.8200000000000001,0.76,0.7000000000000001
False,5.022574706044391,8.333530375356442,1.02,0.88,0.8200000000000001,0.8
False,4.903714547600115,8.326792707852421,1.98,0.84,0.78,0.74
False,5.047432994266391,8.670000950857439,1.9000000000000001,0.98,0.9400000000000001,0.88
False,5.707218902096721,9.92873091186812,2.2600000000000002,0.9,0.86,0.8
False,4.934435379326182,8.433312765852564,2.2,0.76,0.74,0.68
False,4.7011766569801265,7.902227553695662,0.86,0.8,0.74,0.68
False,5.1429239806617275,8.76081909649806,0.9400000000000001,0.8200000000000001,0.78,0.72
False,5.113069772192105,8.70934325951288,2.46,0.78,0.7000000000000001,0.66
False,4.950939157247649,8.422998077935262,1.68,0.88,0.8200000000000001,0.76
False,5.0498000922459845,8.490362009683103,2.0,0.98,0.88,0.8
False,5.487587239017552,9.644845499898278,2.6,2.08,1.02,0.98
False,5.191698157515368,8.948046254245583,2.18,2.02,0.86,0.74
False,5.081377894105836,8.586175621956187,1.6600000000000001,0.8,0.74,0.72
False,5.175711524568579,8.887549021209608,2.62,0.84,0.78,0.74
False,5.0720005511293795,8.577186834078484,1.6400000000000001,0.86,0.76,0.72
False,4.8138523147215535,8.12200522869467,1.86,0.76,0.7000000000000001,0.7000000000000001
False,5.063619523807646,8.581196128828928,1.9000000000000001,0.84,0.8,0.76
False,4.762019312909974,8.00135466402201,1.94,0.8,0.78,0.74
False,4.964662939842263,8.327904740858195,1.58,0.96,0.86,0.76
False,4.74985394345955,7.963395921453501,0.98,0.86,0.78,0.72
False,5.023023114071076,8.489827932025705,1.02,0.88,0.84,0.74
False,5.089017615947644,8.843093631468934,2.16,0.9,0.8200000000000001,0.74
False,5.117104458260794,8.690300063971476,1.1,0.86,0.78,0.76
False,4.897258189957416,8.303696426187829,1.1,0.9400000000000001,0.8200000000000001,0.78
False,4.890777791842712,8.505550558721712,1.94,0.84,0.8,0.72
False,4.982798949269216,8.453813217044068,2.3000000000000003,0.76,0.74,0.7000000000000001
False,5.052213645072506,8.548491964474309,1.86,0.88,0.78,0.76
False,4.845009893783578,8.374331019989366,1.94,0.84,0.78,0.7000000000000001
False,4.941448580677186,8.381308423531936,1.68,0.84,0.8,0.76
False,5.289463370166394,9.136957120129066,1.9000000000000001,0.9400000000000001,0.88,0.8
